Rank,Artist,id,album_id
80,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,6oRuinkJdTge4hpTuClEF8
79,Tame Impala,5INjqkS1o8h1imAzPqGZBb,79dL7FLiJFOO0EoehUHQBv
78,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,32a7BrNNTAu7BVb6DcsMLP
77,Four Tet,7Eu1txygG6nJttLHbZdQOh,6XoxeeeyZgzqUMzUBUSDG9
76,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,3DrgM5X3yX1JP1liNLAOHI
75,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,033j4a038P7Uodv9Y2eHZb
74,SOPHIE,5a2w2tgpLwv26BYJf2qYwu,4z3YbEkKWwiIMSJTWUQbTH
73,Cardi B,4kYSro6naA4h99UJvo89HB,4KdtEKjY3Gi0mKiSdy96ML
72,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,2A8IKX257C4hJaYUHMhLP7
71,Robyn,6UE7nl9mha6s8z0wFQFIZ2,6WZjFvrzwq8SOGe0r8R3qk
70,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,7awgq3vvlsIeA7dZduR9x4
69,Drake,3TVXtAsR1Inumwj472S9r4,0ptlfJfwGTy0Yvrk14JK1I
68,Flying Lotus,29XOeO6KIWxGthejQqn793,5c7XChrHxYaqykCZLaGM5f
67,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,6PosCDToF5fOdEjTI5PsDX
66,Fever Ray,5hE6NCoobhyEu6TRSbjOJY,3UHMhYzYnfTBEuDxb1JmxC
65,Future,1RyvyyTE3xzB2ZywiAwp0i,0fUy6IdLHDpGNwavIlhEsl
64,Mitski,2uYWxilOVlUdk4oV9DvwqK,653wRjqO0GOZPQPcXpeAXD
63,Danny Brown,7aA592KWirLsnfb5ulGWvU,3vyMhFtK8R0cFoMfnBfztb
62,Grouper,31uyAcnY0kjjKKIQZMKX4i,5ElYoVUqRQIlDekD1v6aKa
61,Arca,4SQdUpG4f7UbkJG3cJ2Iyj,1MQO4j8QExVgmnplbIodEU
60,King Krule,4wyNyxs74Ux8UIDopNjIai,6Ulu31dfRTpIAud08ZIhXd
59,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1EoDsNmgTLtmwe1BDAVxV5
58,Kamasi Washington,6HQYnRM4OzToCYPpVBInuU,2j2q2ySuVk43eHB8wI5XQj
57,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,4eLPsYPBmXABThSJ821sqY
56,Björk,7w29UYBi0qsHi5RTcv3lmA,1ttnHZ0HVGMSMTJdZZ7kYK
55,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,1Lci4bx7JIuCC8pnBNX7ds
